"id","timestamp","reference","contract_type","entry_tick","exit_tick","sell_spot","buy_price","sell_price","profit"
66,"2018-07-21 16:26:52 GMT+0800","59334855988","CALL","6238.57","6237.25","6237.25","0.90","0.00","-0.90"
67,"2018-07-21 16:27:07 GMT+0800","59334872508","CALL","6237.68","6236.36","6236.36",1.01,"0.00","-1.01"
68,"2018-07-21 16:27:20 GMT+0800","59334886808","CALL","6233.32","6237.33","6237.33",1.14,6.53,"5.39"
69,"2018-07-21 16:27:40 GMT+0800","59334906088","CALL","6243.37","6245.86","6245.86",0.35,"0.00","-0.35"
70,"2018-07-21 16:27:54 GMT+0800","59334921348","CALL","6246.43","6240.21","6240.21",0.39,"0.00","-0.39"
71,"2018-07-21 16:28:09 GMT+0800","59334938648","CALL","6240.77","6245.57","6245.57",0.44,2.52,"2.08"
72,"2018-07-21 16:28:38 GMT+0800","59334965868","CALL","6250.37","6258.71","6258.71",0.35,"2.00","1.65"
73,"2018-07-21 16:28:52 GMT+0800","59334980668","CALL","6263.15","6262.83","6261.02",0.35,"0.00","-0.35"
74,"2018-07-21 16:29:09 GMT+0800","59334999088","CALL","6262.05","6262.88","6262.88",0.39,"0.00","-0.39"
75,"2018-07-21 16:29:22 GMT+0800","59335014068","CALL","6260.86","6263.20","6263.20",0.44,"0.00","-0.44"
76,"2018-07-21 16:29:37 GMT+0800","59335029708","CALL","6264.99","6266.27","6266.27","0.50","0.00","-0.50"
77,"2018-07-21 16:29:50 GMT+0800","59335044028","CALL","6265.63","6266.71","6266.71",0.56,"0.00","-0.56"
78,"2018-07-21 16:30:10 GMT+0800","59335067748","CALL","6261.86","6267.29","6267.29",0.63,3.59,"2.96"
79,"2018-07-21 16:30:25 GMT+0800","59335083848","CALL","6269.18","6274.40","6274.40",0.35,1.99,"1.64"
80,"2018-07-21 16:30:38 GMT+0800","59335097808","CALL","6274.04","6271.92","6271.92",0.35,"0.00","-0.35"
81,"2018-07-21 16:30:53 GMT+0800","59335112928","CALL","6271.28","6273.46","6273.46",0.39,"0.00","-0.39"
82,"2018-07-21 16:31:06 GMT+0800","59335128268","CALL","6276.27","6275.29","6275.29",0.44,"0.00","-0.44"
83,"2018-07-21 16:31:20 GMT+0800","59335143608","CALL","6274.87","6279.25","6279.25","0.50",2.84,"2.34"
84,"2018-07-21 16:31:34 GMT+0800","59335160188","CALL","6277.11","6279.53","6279.53",0.35,"0.00","-0.35"
85,"2018-07-21 16:31:49 GMT+0800","59335175588","CALL","6283.54","6280.08","6280.08",0.39,"0.00","-0.39"
86,"2018-07-21 16:32:02 GMT+0800","59335191828","CALL","6279.23","6280.90","6280.90",0.44,"0.00","-0.44"
87,"2018-07-21 16:32:16 GMT+0800","59335208248","CALL","6280.10","6279.09","6279.09","0.50","0.00","-0.50"
88,"2018-07-21 16:32:31 GMT+0800","59335222208","CALL","6278.07","6280.71","6280.71",0.56,"0.00","-0.56"
89,"2018-07-21 16:32:44 GMT+0800","59335236428","CALL","6284.17","6280.89","6280.89",0.63,"0.00","-0.63"
